,index,name,full_name,score
109,2305,3438.pdf,train/3438.pdf,0.25784414365670777
110,685,1989.pdf,train/1989.pdf,0.2576405936921331
111,1210,716.pdf,train/716.pdf,0.25750439957562865
112,925,882.pdf,train/882.pdf,0.25720318875025544
113,1518,862.pdf,train/862.pdf,0.25665451834227376
114,2779,757.pdf,train/757.pdf,0.2564637618924652
115,2317,80.pdf,train/80.pdf,0.2563711207697238
116,2543,2440.pdf,train/2440.pdf,0.25625440077182426
117,2591,3366.pdf,train/3366.pdf,0.25611316120499833
118,1263,2762.pdf,train/2762.pdf,0.2556988565969386
119,57,809.pdf,train/809.pdf,0.2554841090498518
120,2081,2597.pdf,train/2597.pdf,0.25522224402880245
121,134,1230.pdf,train/1230.pdf,0.2549865043870625
122,239,1187.pdf,train/1187.pdf,0.25486351555133807
123,1039,1734.pdf,train/1734.pdf,0.2548253706536609
124,1925,1074.pdf,train/1074.pdf,0.25480042694969424
125,2228,3360.pdf,train/3360.pdf,0.25441244670691404
126,1166,39.pdf,train/39.pdf,0.2542840504545999
127,1633,337.pdf,train/337.pdf,0.25412944753695627
128,1579,257.pdf,train/257.pdf,0.25398918567635026
129,1078,717.pdf,train/717.pdf,0.2538574474708108
130,2345,3000.pdf,train/3000.pdf,0.2535615468170737
131,2350,2336.pdf,train/2336.pdf,0.25352063314062245
132,1352,2824.pdf,train/2824.pdf,0.2531106334190263
133,1638,2396.pdf,train/2396.pdf,0.2524521453432642
134,2346,2478.pdf,train/2478.pdf,0.2524098673778519
135,1025,1287.pdf,train/1287.pdf,0.2521275900925209
136,2587,797.pdf,train/797.pdf,0.2520624235843554
137,2088,1953.pdf,train/1953.pdf,0.25204588135319445
138,1330,3092.pdf,train/3092.pdf,0.25202690282401247
139,2266,208.pdf,train/208.pdf,0.2515409719696853
140,388,3352.pdf,train/3352.pdf,0.2514443617568389
141,1950,127.pdf,train/127.pdf,0.25133332283147297
142,282,837.pdf,train/837.pdf,0.25111682777522926
143,2408,786.pdf,train/786.pdf,0.2509609845885963
144,2716,391.pdf,train/391.pdf,0.2507461991567818
145,2037,2811.pdf,train/2811.pdf,0.25066517717061826
146,1219,1057.pdf,train/1057.pdf,0.2505327499597375
147,2632,3199.pdf,train/3199.pdf,0.25006414019156104
148,600,2488.pdf,train/2488.pdf,0.2499582349344915
149,2258,550.pdf,train/550.pdf,0.24994762724387595
